,zip_code,agi_range,return_count,exemption_count,dependent_count,agi_amt,salary_wages_count,salary_wages_amt,taxable_interest_count,taxable_interest_amt,ordinary_dividends_count,ordinary_dividends_amt,business_income_count,business_income_amt,farm_income_count,net_capital_gain_count,net_capital_gain_amt,taxable_IRA_dist_count,taxable_IRA_dist_amt,pension_income_count,pension_income_amt,unemployment_count,unemployment_amt,social_security_count,social_security_amt,item_deduc_count,item_deduc_amt,charitable_contribution_count,charitable_contribution_amt,mortgage_int_count,mortgage_int_amt,property_tax_count,property_tax_amt,state_local_income_tax_count,state_local_income_tax_amt,state_local_sales_tax_count,state_local_sales_tax_amt,taxable_income_count,taxable_income_amt,tot_tax_credit_count,tot_tax_credit_amt,earned_income_credit_count,earned_income_credit_amt,excess_eaned_income_credit_count,excess_eaned_income_credit_amt,tax_liability_count,tax_liability_amt,balance_due_count,balance_due_amt,refund_count,refund_amt,paid_prep_count,year,agi_amt_avg,salary_avg,mortgage_amt_avg,prop_tax_avg,taxable_income_avg,earned_income_credit_avg,excess_eaned_income_credit_avg
1093,37335,Total,1061,2331,788,42017,887,34814,319,242,83,36,195,1070,125,78,62,68,511,198,3296,73,324,104,750,167,2810,125,540,143,1055,156,128,62,195,97,185,761,24447,307,352,247,555,213,475,767,3460,136,319,876,2314,647,2011,39.6013195098963,39.2491544532131,7.37762237762238,0.82051282051282,32.1248357424442,2.24696356275304,2.23004694835681
1094,37335,"$1 under $25,000",467,816,281,5930,337,4275,85,113,21,23,94,586,30,23,-9,41,230,63,584,49,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,1040,43,16,174,423,154,361,226,185,43,26,383,814,270,2011,12.6980728051392,12.6854599406528,NA,NA,5.81005586592179,2.43103448275862,2.34415584415584
1095,37335,"$25,000 under $50,000",299,673,222,10806,269,9144,84,51,40,8,44,330,38,33,15,0,0,58,1000,0,0,64,258,50,656,33,99,39,257,42,26,0,0,36,38,287,5385,124,101,73,132,59,114,252,620,34,52,259,717,171,2011,36.1404682274247,33.9925650557621,6.58974358974359,0.619047619047619,18.7630662020906,1.80821917808219,1.93220338983051
1096,37335,"$50,000 under $75,000",158,423,131,9732,148,8204,66,46,0,0,28,130,37,0,0,27,281,38,670,24,101,40,492,40,646,27,100,37,233,40,30,34,74,22,39,158,6225,74,116,0,0,0,0,153,743,35,65,130,375,104,2011,61.5949367088608,55.4324324324324,6.2972972972973,0.75,39.3987341772152,NA,NA
1097,37335,"$75,000 under $100,000",68,204,70,5928,66,5038,35,10,22,5,29,24,0,22,56,0,0,39,1042,0,0,0,0,30,560,27,139,27,199,29,28,0,0,39,108,68,4167,34,72,0,0,0,0,68,511,0,0,59,230,50,2011,87.1764705882353,76.3333333333333,7.37037037037037,0.96551724137931,61.2794117647059,NA,NA
1098,37335,"$100,000 under $200,000",69,215,84,9621,67,8153,49,22,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,47,948,38,202,40,366,45,44,28,121,0,0,69,7630,32,47,0,0,0,0,68,1401,24,176,45,178,52,2011,139.434782608696,121.686567164179,9.15,0.977777777777778,110.579710144928,NA,NA
1099,37335,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,NA,NA,NA,NA,NA,NA,NA
1100,37336,Total,1818,3813,1160,88640,1524,64079,501,848,209,381,318,3089,96,163,94,153,2343,392,6823,170,794,262,2705,449,8530,350,2074,378,3144,409,621,25,116,386,777,1343,56464,536,628,421,914,370,784,1352,8695,276,833,1497,4222,1080,2011,48.7568756875688,42.0465879265092,8.31746031746032,1.51833740831296,42.0431868950112,2.17102137767221,2.11891891891892
1101,37336,"$1 under $25,000",745,1198,363,8901,577,6499,127,173,45,67,137,966,0,38,3,31,158,97,716,80,370,30,59,39,549,24,91,24,144,32,35,0,0,33,31,284,1608,78,25,313,708,280,616,353,292,67,54,644,1337,428,2011,11.9476510067114,11.263431542461,6,1.09375,5.66197183098592,2.26198083067093,2.2
1102,37336,"$25,000 under $50,000",452,985,308,16277,380,12533,107,78,55,122,74,578,58,34,-10,46,425,106,1746,46,197,104,563,91,1382,59,207,71,513,75,92,0,0,78,117,438,7932,178,140,108,206,90,168,383,919,68,124,383,1082,274,2011,36.0110619469027,32.9815789473684,7.22535211267606,1.22666666666667,18.1095890410959,1.90740740740741,1.86666666666667
